occupation,SD
admin asst,98
electrician,0
author,70
optician,36
announcer,0
chemist,55
butcher,2
building inspector,0
bartender,16
childcare worker,99
chef,2
CEO,10
biologist,50
bus driver,35
crane operator,0
CSR,71
drafter,0
construction worker,0
doctor,5
CP,2
custodian,0
cook,24
nurse practitioner,100
mail carrier,20
lab tech,64
pharmacist,45
librarian,93
nurse,100
housekeeper,98
pilot,26
roofer,0
police officer,28
PR person,90
software developer,0
special ed teacher,84
receptionist,100
plumber,0
security guard,4
PST,83
technical writer,12
telemarketer,24
veterinarian,58
